,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,artist
90,,,,,,,,,,22163.55,ODILON MARMOLEJO SÁNCHEZ
91,,,,,,,,,,4171.96,ADOLFO ESCUDERO MEJÍA
92,,,,,,,,,,2085.98,ANGÉLICO JIMÉNEZ HERNÁNDEZ
93,,,,,,,,,,3911.21,JOSÉ DE JESÚS ÁLVAREZ RAMÍREZ
94,,,,,,,,,,4171.96,FRANCISCO CORONEL NAVARRO
95,,,,,,,,,,3128.97,MAGDIEL GARCÍA HERNÁNDEZ
96,358159.66,111719.11,135563.6,68904.1,180947.0,113173.94,326002.5,230560.57,69238.48,174700.93,CARLOS MÉRIDA (1891-1984)
97,88463.8,52135.58,10258.87,9234.57,,,43871.97,,46602.82,33897.19,ALICE RAHON (1916-1987)
98,805079.9800000001,124529.57,898823.31,470394.77999999997,116362.84,157757.62,521334.0199999999,80898.44,319562.23,221635.5,GUNTHER GERZSO (1915-2000)
99,0.0,,23448.84,,55676.0,34295.13,141740.22,0.0,5326.04,41719.62,MANABU MABE (1924-1997)
100,,,,,,96026.37,,,0.0,71705.6,ROBERTO BURLE-MARX (1909-1994)
101,,,,,,,,80898.45000000001,58586.41,20859.81,FERNANDO CANOVAS (B. 1960)
102,1846459.2,,,,,,33747.67,161796.89,199726.39,234672.88,MATTA (1912-2002)
103,20780.09,574981.02,,,,295212.51,,,0.0,26074.76,MARIANO RODRÍGUEZ (1912-1990)
104,,,,,,,,,,142107.47,CARLOS ENRIQUEZ (1900 - 1957)
105,97072.7,118422.26000000001,80605.38,0.0,6959.5,181078.29,13499.07,114606.13,232348.37,39112.15,RENÉ PORTOCARRERO (1912-1986)
106,,,,,,137180.53,26998.14,32359.38,29293.2,62579.43,VÍCTOR MANUEL (1897-1969)
107,,0.0,,,,,,51235.68,17309.62,0.0,JOSÉ MARÍA MIJARES (B. 1922)
108,,,29311.05,28414.06,,0.0,264581.74,,17309.62,65186.91,CUNDO BERMÚDEZ (1914-2008)
109,291514.94,288682.19,317438.67000000004,164943.63,0.0,0.0,49946.56,316852.23,54591.88,280303.72,AGUSTÍN CÁRDENAS (1927-2001)
110,,,58622.1,26993.36,,,0.0,,,0.0,GUILLERMO MEZA (1917-1997)
111,,,0.0,,,,0.0,,,3389.72,LUIS CABALLERO (1943-1995)
112,489935.08999999997,459984.81,142891.36000000002,73876.56,529617.95,289450.91000000003,516744.35000000003,149662.12,223693.55,83439.24,FRANCISCO TOLEDO (B. 1940)
113,,,,,,,353270.63,121347.66,252986.77,174700.92,OSWALDO VIGAS (1926-2014)
114,40372.74,71500.23,163409.09999999998,,181642.95,75449.29,388233.2100000001,,508636.53,271177.54000000004,OSWALDO GUAYASAMÍN (1919-1999)
115,,,,,,,,,146466.02,48238.31,ANGELINE BELOFF (1879-1969)
116,,,,,,,,,21304.15,0.0,MARÍA GAMUNDÍ (B. 1952)
117,,,,,,,,,,20859.82,ATTRIBUTED TO JEAN-BAPTISTE LOUIS GROS (1793-1870)
118,29685.84,16385.47,0.0,105132.03,34797.5,258996.85,134990.69,97078.13,135813.95,5475.7,AUGUST LÖHR (1843-1919)
119,,,,,,,,,,10429.91,ELLA ROYAL NESTELL LUTY (1872-1937)
120,,,,,,,,,,10429.91,ATTRIBUTED TO ARTURO MICHELENA (1863-1898)
121,455529.2100000001,360927.21,208548.11,39069.34,0.0,81622.41,64255.57,14831.38,43939.81,28682.24,ÁNGEL BOTELLO (1913-1986)
122,,,,,,,62095.719999999994,0.0,,5214.95,RAFAEL TRELLES (B. 1957)
123,,,,,,,13499.07,,,0.0,MARIO DÍAZ BENCOMO (B. 1953)
124,295077.24,84906.53,240643.71000000002,186112.1,,15089.86,,29662.76,115841.31,104299.06,ANTONIO SEGUÍ (B. 1934)
125,,,,,,,,,,20859.81,ARMANDO BARRIOS (1920-1999)
126,33960.6,,,0.0,41757.0,,,,,20859.81,LOUIS BÉROUD
127,,,,646704.05,54284.1,,3297552.43,49213.22,169101.66999999998,780548.0800000001,MARIE-FRANÇOIS FIRMIN-GIRARD
128,145460.61000000002,,131166.94,58248.83,25054.2,31551.52,,,,146018.69,ALBERT-ERNEST CARRIER-BELLEUSE
129,,,,,,,,,,0.0,CARL ERNST VON STETTEN
130,,,,,,,,,,7822.43,JEAN ALEXANDRE JOSEPH FALGUIÈRE
131,175740.16999999998,,,,,13718.05,1042128.08,35055.99,213041.49,28682.24,FRANZ VON STUCK
132,,,,,12527.1,5487.22,,,7989.06,391121.47,GUSTAVE JEAN JACQUET
133,813392.0,96823.23,453148.82,,123043.96,695779.6699999999,32397.76,487547.95,726471.47,299859.79,FEDERICO DEL CAMPO
134,,238929.94,115485.53,98312.65,15310.9,428277.62,107992.54999999999,,,32593.46,FRANZ RICHARD UNTERBERGER
135,0.0,35750.12,36638.81,,103000.6,10974.44,,134830.74,46602.82,65186.91,THOMAS BLINKS
136,,881240.35,2725927.55,453488.43000000005,1381878.32,2228634.9699999997,2159.85,67415.37,5872754.84,1318340.0899999999,JEAN BÉRAUD
137,0.0,,,,,,,,,28682.24,FRITZ PAULSEN
138,0.0,,5129.43,,34797.5,,,,,16948.6,PIERRE CARRIER-BELLEUSE
139,,,,,,,,,,0.0,AMBROGIO ANTONIO ALCIATI
140,,,,,,,,,,15644.86,ALEXANDER M. ROSSI
141,79558.05,,,,,,10124.3,,,0.0,JULES WORMS
142,,,,,,,,,33287.73,143411.2,FRANÇOIS ALFRED DELOBBE
143,0.0,,242109.26,,189855.16,,310478.57,91010.75,0.0,0.0,LÉON-JEAN-BASILE PERRAULT
144,280234.32999999996,59583.53,,204012.97,992007.13,117289.36,168738.36,0.0,15978.11,65186.91,DANIEL RIDGWAY KNIGHT
145,,,505615.6,,,,,,,195560.73,LADISLAUS BAKALOWICZ
146,271922.29,,,,,,,,,0.0,PAUL FRIEDRICH MEYERHEIM
147,0.0,,58622.1,,,,,,,23467.29,FERDINAND VICTOR LÉON ROYBET
148,,,,,,,,,,0.0,PAUL LOUIS NARCISSE GROLLERON
149,36810.44,,,,,,,,,0.0,FRANÇOIS FLAMENG
150,79558.05,,,6393.16,,0.0,20248.6,,,41719.62,PAUL DELAROCHE
151,,,,,,10974.44,,,,22163.55,ANTONIN MERCIÉ
152,,,,12360.119999999999,15310.9,,0.0,476761.49,,20859.81,JEAN LOUIS ERNEST MEISSONIER
153,37107.3,,,,,,0.0,161796.89,,0.0,GIUSEPPE GABANI
154,,,21983.29,,41757.0,,,,,49542.05,HERMANN HERZOG
155,,,,,,,,,,26074.76,JOSEPH JANSEN
156,,,,31255.47,,,,25617.84,,28682.24,HENRI ÉMILIEN ROUSSEAU
157,378494.45,0.0,29311.05,,0.0,0.0,,0.0,25298.68,26074.76,ADOLF SCHREYER
158,,14151.09,,0.0,,21262.989999999998,8774.39,,,9126.17,PIERRE JULES MÊNE
159,33396.57,,,,4871.65,0.0,25648.23,,,0.0,ÉMILE-LOUIS PICAULT
160,115181.04999999999,44687.64,,9234.57,34797.5,,13499.07,117302.75,23967.16,78224.3,ROSA BONHEUR
161,,,,,,,,,,13037.38,GÉZA VASTAGH
162,0.0,,,56828.12,707085.2,,89093.84999999999,,213041.49,0.0,JOHN EMMS
163,44528.76,,,,11135.2,30865.62,71545.07,21572.92,57254.9,33897.19,EDMUND HENRY OSTHAUS
164,,106505.56,,2504415.4099999997,20878.5,0.0,808999.17,1937248.05,120835.01,355920.54,JOHN FREDERICK HERRING SR.
165,0.0,,,9944.92,5567.6,,,,,6518.69,JOHN FREDERICK HERRING JR.
166,,,,,,,,,,23467.29,JOHN FREDERICK HERRING SR. AND STUDIO
167,0.0,468922.36000000004,693059.75,360148.22000000003,350090.69,0.0,289150.05,777973.36,166438.65999999997,192953.25,"MONTAGUE DAWSON R.S.M.A., F.R.S.A."
168,,,,,,,,,,0.0,HECTOR CHALMERS
169,,,,,,,78294.59,11460.61,,200775.68000000002,EANGER IRVING COUSE
170,,,,,,,,,,5214.95,JOAQUÍN MIRÓ
171,,,,0.0,35493.45,,,,,46934.58,OGDEN MINTON PLEISSNER
172,,,,,,,13499.07,,,0.0,CHARLES VICTOR THIRION
173,,52135.58,,,,,17548.79,,226356.58,0.0,JULES JOSEPH LEFEBVRE
174,670899.97,0.0,11075472.93,327614.13,2729794.27,1973824.8499999999,775386.49,74156.91,1227651.56,416153.24,GIOVANNI BOLDINI
175,,,,3907.5,0.0,355571.95,107992.55,35055.99,5326.04,0.0,JEHAN GEORGES VIBERT
176,,0.0,,139228.9,59155.75,,,75505.20999999999,,0.0,EMILIO SÁNCHEZ PERRIER
177,,0.0,213970.66,548391.4,697620.28,194247.63999999998,642015.7,120673.51,0.0,71705.6,ALFRED STEVENS
178,,,20517.73,0.0,175268.04,,,,43939.81,55408.88,MARTÍN RICO Y ORTEGA
179,,,,,,,,0.0,,0.0,JOHANN MARI HENRI TEN KATE
180,0.0,,,,,,4724.67,,,41719.62,ANTON MAUVE
181,,,,,0.0,,,,,45630.84,GEORGE FREDERICK WATTS
182,,,,,,,,,,0.0,JOHN EVERETT MILLAIS
183,1152523.03,,42117046.12,35336295.72,19486.6,0.0,944934.79,0.0,601309.59,685766.31,"SIR LAWRENCE ALMA-TADEMA, O.M., R.A."
184,,,,,,,,,,1031256.94,"SOLOMON JOSEPH SOLOMON R.A., P.R.B.A."
185,,1264362.4100000001,,,1281661.52,,1560492.31,0.0,,0.0,JOHN WILLIAM GODWARD
186,,2233786.38,58622.1,,,,,,,391121.47,"FREDERIC, LORD LEIGHTON, P.R.A."
187,271922.29,,,,,,,,,156448.59,ALEXEI ALEXEEVICH HARLAMOFF
188,227541.97000000003,488882.83,,406463.16000000003,80034.25,360647.63,418741.1,490783.89,271627.89999999997,395032.68,LÉON-AUGUSTIN LHERMITTE
189,0.0,,,,,,64120.57,0.0,,0.0,CÉSAR PATTEIN
190,113162.41999999998,547572.6,1089198.57,11365.62,836810.28,344323.13999999996,723550.06,471907.58,1672375.66,52149.53,JULES BRETON
191,,,,,,,,,,0.0,FRANÇOIS-JOSEPH NAVEZ
192,9635073.49,1003982.41,6913303.989999999,7056916.42,8003703.35,1855778.2699999998,2290521.93,499682.72,2168762.3200000003,1444802.71,WILLIAM BOUGUEREAU
193,,,,,,,,,,0.0,ALEXANDER KOESTER
194,,,,,61243.6,,,,,52149.53,JOSÉ GALLEGOS Y ARNOSA
195,,,,,50108.399999999994,,,1725833.45,713688.98,221635.5,JULES BASTIEN-LEPAGE
196,,,,,,,,,,0.0,FRITZ BOEHLE
197,,,,,,,,,,221635.5,ANGELO MORBELLI
198,,,,,,,,,,0.0,ALEXANDRE SÉGÉ
199,,,,,0.0,,24298.32,,,0.0,PAUL CAMILLE GUIGOU
200,872169.96,0.0,650119.06,69614.45,366348.08,0.0,12824.11,634513.46,385072.48000000004,810403.6799999999,JEAN-FRANÇOIS MILLET
201,33396.57,,,7103.52,78642.35,,134990.68,,,0.0,THÉODORE ROUSSEAU
202,973695.54,1205970.56,1276056.52,3618530.78,1557675.28,1085098.02,1238674.5099999998,1318644.6300000001,139808.47,381995.3,JEAN-BAPTISTE-CAMILLE COROT
203,0.0,99504.49,,53276.37,0.0,309342.10000000003,,303369.16000000003,2663.02,9778.04,JOHAN BARTHOLD JONGKIND
204,,,,,,,,,,0.0,SIEBE JOHANNES TEN CATE
205,,,,,,,,,,36504.67,GABRIEL LOPPÉ
206,,,,,19486.6,,,,,52149.53,FRITS THAULOW
